#{"t_start": 1748360455.3771858, "env_id": "None"}
r,l,t
147.380217,48,105.369918
145.880608,48,105.434392
145.880803,48,105.508047
146.630412,48,105.596217
146.528195,47,105.674171
147.380217,48,105.767211
146.630412,49,105.841192
147.380412,48,105.909311
146.630608,48,105.98542
145.880608,48,106.057923
146.630412,48,106.143368
146.630412,48,106.229224
147.380217,48,106.311201
145.130803,48,106.375749
146.630412,48,106.432804
147.380022,49,106.513642
147.380412,48,106.591756
145.880217,49,106.679161
145.130412,50,106.765615
147.380217,48,106.854929
147.380217,48,106.941513
146.630412,48,107.033836
146.630412,48,107.107505
146.630022,49,107.185933
147.380412,48,109.413693
146.630412,48,109.490071
146.630022,49,109.571329
145.880412,49,109.671242
145.7839,48,109.760306
145.782588,48,109.835828
147.380217,48,109.911172
146.630412,49,110.006736
147.380217,48,110.12369
147.380022,49,110.215572
146.630608,48,110.318436
145.880217,49,110.411225
147.380217,48,110.486343
145.880608,48,110.562401
145.880608,48,110.63655
146.630217,49,110.71959
146.630412,48,110.796216
146.630608,48,110.860406
145.880412,49,110.919881
146.630412,48,111.005305
145.880608,49,111.080584
145.880803,48,111.14987
146.630608,48,111.227538
146.630412,48,111.305277
146.630412,48,111.385741
145.880412,49,111.468909
146.630412,48,111.539195
146.630022,51,111.611339
145.880803,48,111.683341
145.880412,49,111.762638
147.380217,48,111.831466
145.880608,48,111.899533
145.130803,48,111.979834
147.380217,48,112.051547
147.380217,48,112.126384
145.880608,48,112.198889
146.630217,49,112.296135
145.880803,48,112.372261
146.630412,48,112.445338
145.782218,49,112.516218
147.380412,48,112.585027
145.880608,48,112.655099
145.880608,48,114.77633
145.880217,50,114.840221
146.630022,50,114.92351
146.630217,49,114.997665
146.630412,48,115.073552
145.880217,50,115.148933
146.630608,48,115.226691
146.630412,48,115.294734
145.130412,50,115.366828
145.880608,48,115.446839
145.880608,48,115.520511
145.880803,48,115.602279
145.880803,48,115.670641
144.932944,49,115.753581
147.380412,48,115.807831
146.532215,48,115.833576
146.630412,48,115.860393
147.380217,48,115.888275
146.630608,48,115.91643
146.630412,48,115.945127
147.380217,48,115.972259
146.532215,48,115.999914
146.630412,48,116.028207
146.630803,48,116.055418
147.380217,48,116.083343
147.380217,48,116.111636
146.630608,48,116.139144
146.630608,48,116.167851
146.630412,48,116.195882
144.380412,51,116.225553
145.880608,48,116.254583
145.880803,48,116.2816
147.380022,49,116.310198
145.880608,49,116.338117
146.630412,48,116.36465
145.130803,48,116.393084
145.880608,48,116.419749
146.630608,48,116.447496
145.880803,48,116.476651
145.880608,48,116.503248
146.630022,49,116.532209
145.880608,48,116.559764
147.380217,48,117.236471
147.380217,48,117.26419
147.380217,48,117.291319
146.630412,48,117.317972
145.880803,48,117.345823
147.380217,48,117.374182
147.380217,48,117.400375
146.630608,48,117.427526
146.629827,50,117.455363
146.629827,52,117.483039
147.380412,48,117.510288
145.880608,48,117.536614
145.782218,48,117.564418
145.782195,49,117.592517
145.786139,49,117.619698
146.630412,48,117.647174
145.880608,48,117.675704
146.630412,48,117.702443
145.880803,48,117.731265
146.630608,48,117.758945
147.380217,48,117.78512
146.630022,50,117.813443
146.630412,48,117.840257
146.630412,48,117.866944
145.880217,49,117.894628
146.630412,48,117.92141
147.380412,48,117.948804
147.380217,48,117.976405
146.630412,48,118.003264
146.630608,49,118.030534
147.380217,48,118.057249
144.933701,48,118.083076
146.630412,48,118.109497
146.630412,48,118.13763
146.630412,48,118.165371
146.630412,48,118.192837
146.630412,48,118.224169
-65.456332,43,118.252529
145.880608,48,118.279555
145.130998,48,118.307279
147.380412,48,118.33422
147.380412,48,118.361408
146.630608,48,118.388434
147.380412,48,119.05214
146.630412,49,119.079437
147.380217,48,119.107987
147.380022,49,119.135358
147.380217,48,119.16278
146.630217,49,119.190151
146.630217,49,119.217875
147.380217,48,119.245379
146.630412,48,119.273825
147.380412,48,119.300344
147.380217,48,119.327583
145.880217,50,119.355925
146.630412,48,119.382444
147.380217,48,119.408908
145.130998,48,119.434605
147.380217,48,119.461907
147.380022,49,119.489921
146.630022,50,119.516665
147.380217,48,119.544273
147.380412,48,119.570404
147.380022,49,119.597658
146.529963,48,119.624272
145.130608,49,119.651816
147.380217,48,119.678506
147.380217,48,119.705342
145.880608,48,119.732952
146.630412,48,119.760131
145.880608,48,119.788659
146.630412,48,119.815719
145.130412,50,119.842317
147.380412,48,119.8685
146.630217,49,119.894589
145.880608,48,119.923517
145.880608,48,119.949689
146.630412,48,119.976313
146.630412,48,120.003384
146.630412,48,120.030533
146.630217,49,120.058297
147.380217,48,120.085109
146.630412,48,120.112869
146.630217,49,120.1423
147.380217,48,120.170286
-66.206527,44,120.828598
146.630412,48,120.854634
145.778393,47,120.88159
145.880803,48,120.910077
145.880608,48,120.936742
146.630412,48,120.96482
146.630608,48,120.992526
146.531135,48,121.019914
145.880608,48,121.045856
145.130608,49,121.073622
-63.956722,43,121.096634
145.880608,48,121.124418
145.880608,48,121.151239
145.780016,49,121.672589
146.630022,50,121.701756
146.630412,48,121.730573
146.630412,48,121.758242
146.630412,48,121.786021
146.630412,48,121.813732
146.630608,48,121.839748
145.880803,48,121.867403
145.880608,48,121.893901
146.630608,48,121.920618
147.380412,48,121.948087
147.380412,48,121.976523
145.130998,48,122.003361
145.781331,49,122.03129
143.435372,49,122.059
145.032416,48,122.086335
146.630608,48,122.113074
145.880803,48,122.140251
146.630608,48,122.166876
146.630412,48,122.195666
145.880608,48,122.222494
145.880217,49,122.249795
145.880608,49,122.277348
145.130803,48,122.305366
147.380217,48,122.331413
147.380412,48,122.358562
145.880608,48,122.385621
145.880803,48,122.412531
145.781138,49,122.443731
147.380217,48,122.469948
145.880608,48,123.151218
145.880217,50,123.17838
147.380217,48,123.205322
147.380217,48,123.234005
-83.503398,21,123.265739
147.380217,48,123.334534
145.880608,48,123.40243
145.130803,48,123.471503
146.630412,48,123.53941
147.380412,48,123.607514
145.779966,48,123.674408
147.380217,48,123.744748
143.535763,49,123.814785
147.380217,48,123.881612
146.630608,48,123.947984
147.380217,48,124.015603
-65.456332,43,124.071567
146.630412,48,124.139182
145.880803,48,124.208138
147.380217,48,124.286288
145.880608,48,124.355754
145.880803,48,124.425749
146.630022,49,124.507631
145.130412,50,124.589455
145.880608,48,124.662144
145.880412,50,124.733197
146.630412,48,124.831458
147.380217,48,124.920531
147.380217,48,124.996138
146.630412,48,125.06889
147.380412,48,125.137503
146.630412,48,125.222727
145.834152,51,125.311557
146.630412,48,125.383817
147.380217,48,125.465348
147.380217,48,125.532918
147.380217,48,125.607752
145.880803,48,125.683928
146.630412,48,125.75645
146.630412,48,125.82535
146.630412,48,125.894488
147.380217,48,125.962886
143.530412,49,126.03911
145.880217,50,128.288555
146.630412,48,128.354758
147.380217,48,128.433812
147.380217,48,128.507743
145.880803,48,128.579991
145.880217,49,128.666442
146.630412,48,128.747066
147.380217,48,128.818843
146.630608,48,128.889533
146.630412,48,128.966369
147.380412,48,129.047675
147.380217,48,129.11966
145.880217,50,129.191214
147.380217,48,129.276003
147.380412,48,129.37036
147.380217,48,129.449877
